Algorithm,Total Crawls,Changes Detected,Data Freshness Rate,Crawl Efficiency,Total Resource Cost,Change Detection Rate,Wasted Crawl Ratio,Avg Staleness,Throughput,Wall Clock Time (s),budget
Periodic (Baseline),500,437,0.874,0.2181,95.32,0.2653,0.126,12.07,2.004,0.016,1
Adaptive Crawling,500,430,0.86,0.2369,101.85,0.2646,0.14,12.0706,2.004,0.063,1
Priority Queue,500,412,0.824,0.1837,75.69,0.2486,0.176,14.6124,2.004,0.031,1
Poisson MLE,500,420,0.84,0.2381,100.0,0.2541,0.16,12.071,2.004,0.019,1
UCB Bandit (c=1.0),500,445,0.89,0.1865,83.0,0.2738,0.11,13.6615,2.004,0.033,1
Periodic (Baseline),1000,760,0.76,0.2694,204.77,0.4723,0.24,8.7203,4.008,0.023,2
Adaptive Crawling,1000,466,0.466,0.4486,209.06,0.2817,0.534,12.0687,4.008,0.027,2
Priority Queue,1000,477,0.477,0.3323,158.5,0.293,0.523,14.7755,4.008,0.042,2
Poisson MLE,1000,469,0.469,0.4469,209.58,0.2856,0.531,12.0708,4.008,0.028,2
UCB Bandit (c=1.0),1000,469,0.469,0.3986,186.94,0.2805,0.531,12.7015,4.008,0.052,2
Periodic (Baseline),1500,1017,0.678,0.3116,316.93,0.6097,0.322,6.6592,6.012,0.025,3
Adaptive Crawling,1500,477,0.318,0.6322,301.54,0.2903,0.682,12.0631,6.012,0.034,3
Priority Queue,1500,495,0.33,0.476,235.61,0.3061,0.67,13.9134,6.012,0.059,3
Poisson MLE,1500,478,0.3187,0.6588,314.91,0.2993,0.6813,12.0775,6.012,0.03,3
UCB Bandit (c=1.0),1500,479,0.3193,0.5998,287.31,0.2891,0.6807,12.2802,6.012,0.074,3
Periodic (Baseline),2500,1406,0.5624,0.3638,511.47,0.8193,0.4376,4.2127,10.02,0.035,5
Adaptive Crawling,2500,492,0.1968,1.0657,524.31,0.3031,0.8032,12.07,10.02,0.042,5
Priority Queue,2500,497,0.1988,0.7999,397.53,0.2958,0.8012,13.5146,10.02,0.084,5
Poisson MLE,2500,493,0.1972,1.0363,510.9,0.3079,0.8028,12.0662,10.02,0.037,5
UCB Bandit (c=1.0),2500,496,0.1984,1.0186,505.21,0.3041,0.8016,12.0903,10.02,0.106,5
Periodic (Baseline),4000,1883,0.4708,0.4378,824.4,1.0,0.5292,2.4729,16.0321,0.052,8
Adaptive Crawling,4000,497,0.1242,1.6786,834.25,0.2922,0.8758,12.07,16.0321,0.054,8
Priority Queue,4000,495,0.1237,1.2792,633.21,0.3071,0.8762,12.7635,16.0321,0.116,8
Poisson MLE,4000,497,0.1242,1.6435,816.8,0.2937,0.8758,12.0763,16.0321,0.053,8
UCB Bandit (c=1.0),4000,497,0.1242,1.6231,806.68,0.3102,0.8758,12.0797,16.0321,0.17,8
Periodic (Baseline),5000,2156,0.4312,0.478,1030.57,1.0,0.5688,1.6395,20.0401,0.055,10
Adaptive Crawling,5000,499,0.0998,2.0349,1015.39,0.3022,0.9002,12.07,20.0401,0.062,10
Priority Queue,5000,497,0.0994,1.6379,814.05,0.3114,0.9006,12.8295,20.0401,0.141,10
Poisson MLE,5000,499,0.0998,2.0341,1014.99,0.3067,0.9002,12.0747,20.0401,0.06,10
UCB Bandit (c=1.0),5000,498,0.0996,2.1109,1051.21,0.3059,0.9004,12.0791,20.0401,0.223,10
